"Blunt_Object","Category_of_Force_Event__Measured_at_Event_Level","Disposition_Custody","DOW","Firearm","Firearm__Implied","Firearm__Replica","Force_Applied__1","Force_Applied__2","Force_Applied__3","Force_Applied__4","Force_Applied__5","Force_Applied__6","Force_Applied__7","Force_Applied__8","Hour_(6Hr)","Initial_Call_Category","Initial_Call_type","Knife___Edged_Weapon___Stabbing_Instrument","Mental_Health_Crisis__Prior_to_Force,_Perceived_Lack_of_Compliance","Month","Needle___Spit___Bodily_Fluids","No_weapon_(unarmed)","Officer","Officer_Precinct","Officer_Tenure","Other_Weapon","Record_ID","Subject","Subject__Race","Subject__Sex","Subject__Transient","Subject_Age","Subject_Instance","Subject_Resistance__1","Subject_Resistance__2","Subject_Resistance__3","Subject_Resistance__4","Subject_Resistance__5","Subject_Resistance__6","Subject_Resistance__7","Subject_Resistance__8","Type_of_Call","Under_the_Influence_of_Alcohol__Prior_to_Force,_Perceived_Condition","Under_the_Influence_of_Drugs__Prior_to_Force,_Perceived_Condition","Weapon_Present_or_reported_but_not_used_or_threatened_use","Year","Record_Count...48","Record_Count...49","AgeBands","serious","(Intercept)","Officer_PrecinctDetectives","Officer_PrecinctEast_Precinct","Officer_PrecinctFamily_Services","Officer_PrecinctK9","Officer_PrecinctNorth_Precinct","Officer_PrecinctSERT","Officer_PrecinctTOD","Officer_PrecinctTraffic","Officer_PrecinctTraining","Officer_PrecinctTransit_PPB_Only","Subject__RaceAsian","Subject__RaceBlack","Subject__RaceHispanic","Subject__RaceNative_American","Subject__RaceUnknown","Subject__SexFemale","Subject__TransientUnknown","Subject__TransientYes","AgeBands25_34","AgeBands35_44","AgeBands45_54","AgeBands55_65","AgeBands66_100"
NA,"III","Arrest_Felony","Wednesday",NA,NA,NA,"Control_Against_Resistance","Resisted_HC",NA,NA,NA,NA,NA,NA,"0600_1159","Stolen_Vehicle","VEHICLE_RECOVERED",NA,NA,"September",NA,NA,"1020641","Central_Precinct","9",NA,"628548514","4029011","White","Male","Yes",30,"632577525","Active","Active",NA,NA,NA,NA,NA,NA,"Self_Initiated",NA,"Yes","Weapon_Present_or_reported_but_not_used_or_threatened_use","2020","1","1","25_34",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
NA,"III","Arrest_Felony","Wednesday",NA,NA,NA,"Control_Against_Resistance","Resisted_HC",NA,NA,NA,NA,NA,NA,"1200_1759","Stolen_Vehicle","VEHICLE_RECOVERED",NA,NA,"January",NA,NA,"265570","Central_Precinct","18",NA,"677545684","621740","White","Male","Yes",25,"678167424","Active","Active",NA,NA,NA,NA,NA,NA,"Dispatched",NA,NA,"Weapon_Present_or_reported_but_not_used_or_threatened_use","2020","1","1","25_34",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
NA,"III","Arrest_Felony","Wednesday",NA,NA,NA,"Control_Against_Resistance","Takedown_II_and_III","Control_Against_Resistance","Takedown_II_and_III","Control_Against_Resistance","Resisted_HC",NA,NA,"1200_1759","Stolen_Vehicle","VEHICLE_RECOVERED",NA,NA,"January",NA,NA,"972240","Central_Precinct","12",NA,"677545684","621740","White","Male","Yes",25,"678167424","Active","Active","Active","Active","Active","Active",NA,NA,"Dispatched",NA,NA,"Weapon_Present_or_reported_but_not_used_or_threatened_use","2020","1","1","25_34",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
NA,"III","Arrest_Felony","Wednesday",NA,NA,NA,"Control_Against_Resistance","Takedown_II_and_III","Resisted_HC",NA,NA,NA,NA,NA,"0600_1159","Subject_Stop","PERSON_CONTACT_86",NA,NA,"May",NA,"No_weapon_unarmed","439190","Central_Precinct","13",NA,"61547248","331403","Black","Male","No",38,"61878651","Active","Active","Active",NA,NA,NA,NA,NA,"Self_Initiated",NA,NA,NA,"2020","1","1","35_44",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
NA,"III","Arrest_Felony","Wednesday",NA,NA,NA,"Control_Against_Resistance","Takedown_II_and_III","Resisted_HC",NA,NA,NA,NA,NA,"1200_1759","Behavioral_Health","ECIT",NA,"Yes","November",NA,NA,"749120","East_Precinct","14",NA,"244549060","4156614","Asian","Male","No",35,"248705674","Active","Active","Active",NA,NA,NA,NA,NA,"Dispatched",NA,NA,"Weapon_Present_or_reported_but_not_used_or_threatened_use","2020","1","1","35_44",1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
NA,"III","Arrest_Felony","Wednesday",NA,NA,NA,"Control_Against_Resistance","Takedown_II_and_III","Resisted_HC",NA,NA,NA,NA,NA,"1200_1759","Behavioral_Health","ECIT",NA,"Yes","November",NA,NA,"991239","East_Precinct","19",NA,"244549060","4156614","Asian","Male","No",35,"248705674","Active","Active","Active",NA,NA,NA,NA,NA,"Dispatched",NA,NA,"Weapon_Present_or_reported_but_not_used_or_threatened_use","2020","1","1","35_44",1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
NA,"III","Arrest_Felony","Wednesday",NA,NA,NA,"Control_Against_Resistance","Takedown_II_and_III","Takedown_II_and_III","Control_Against_Resistance","Control_Against_Resistance",NA,NA,NA,"0600_1159","Stolen_Vehicle","VEHICLE_RECOVERED",NA,NA,"September",NA,NA,"491391","Central_Precinct","1",NA,"628548514","4029011","White","Male","Yes",30,"632577525","Active","Active","Active","Active","Active",NA,NA,NA,"Self_Initiated",NA,"Yes","Weapon_Present_or_reported_but_not_used_or_threatened_use","2020","1","1","25_34",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
NA,"III","Arrest_Felony","Wednesday",NA,NA,NA,"PIT___VIS",NA,NA,NA,NA,NA,NA,NA,"0000_0559","Shots_Fired","SHOTS_FIRED",NA,NA,"October",NA,NA,"552501","East_Precinct","11",NA,"401548861","369647","White","Female","Yes",36,"401918508","Active",NA,NA,NA,NA,NA,NA,NA,"Self_Initiated",NA,NA,"Weapon_Present_or_reported_but_not_used_or_threatened_use","2020","1","1","35_44",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
NA,"III","Arrest_Felony","Wednesday",NA,NA,NA,"Resisted_HC",NA,NA,NA,NA,NA,NA,NA,"0600_1159","Alarm","ALARM___AUDIBLE",NA,NA,"November",NA,"No_weapon_unarmed","265570","Central_Precinct","19",NA,"538548993","4021196","White","Male","Yes",46,"542570189","Active",NA,NA,NA,NA,NA,NA,NA,"Dispatched",NA,NA,NA,"2020","1","1","45_54",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
NA,"III","Arrest_Felony","Wednesday",NA,NA,NA,"Resisted_HC","Strikes_kicks","Strikes_kicks","Strikes_kicks","Strikes_kicks","Strikes_kicks","Strikes_kicks","Takedown_IV","1200_1759","Robbery","ROBBERY___PRIORITY_*H",NA,NA,"July",NA,"No_weapon_unarmed","435090","North_Precinct","14",NA,"437547902","395040","White","Male","Yes",26,"437942942","Active","Active","Active","Active","Active","Active","Active","Active","Dispatched",NA,"Yes",NA,"2020","1","1","25_34",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
NA,"III","Arrest_Felony","Wednesday",NA,NA,NA,"Resisted_HC","Takedown_II_and_III","Resisted_HC",NA,NA,NA,NA,NA,"0600_1159","Subject_Stop","PERSON_CONTACT_86",NA,NA,"May",NA,"No_weapon_unarmed","784021","Central_Precinct","4",NA,"61547248","331403","Black","Male","No",38,"61878651","Active","Active","Active",NA,NA,NA,NA,NA,"Self_Initiated",NA,NA,NA,"2020","1","1","35_44",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
NA,"III","Arrest_Felony","Wednesday",NA,NA,NA,"Resisted_HC","Takedown_II_and_III","Resisted_HC",NA,NA,NA,NA,NA,"0600_1159","Subject_Stop","PERSON_CONTACT_86",NA,NA,"May",NA,"No_weapon_unarmed","1020641","Central_Precinct","9",NA,"61547248","331403","Black","Male","No",38,"61878651","Active","Active","Active",NA,NA,NA,NA,NA,"Self_Initiated",NA,NA,NA,"2020","1","1","35_44",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
NA,"III","Arrest_Felony","Wednesday",NA,NA,NA,"Resisted_HC","Takedown_IV",NA,NA,NA,NA,NA,NA,"1200_1759","Robbery","ROBBERY___PRIORITY_*H",NA,NA,"July",NA,"No_weapon_unarmed","849828","Detectives","19",NA,"437547902","395040","White","Male","Yes",26,"437942942","Active","Active",NA,NA,NA,NA,NA,NA,"Dispatched",NA,"Yes",NA,"2020","1","1","25_34",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
NA,"III","Arrest_Felony","Wednesday",NA,NA,NA,"Resisted_HC","Takedown_IV",NA,NA,NA,NA,NA,NA,"1200_1759","Robbery","ROBBERY___PRIORITY_*H",NA,NA,"July",NA,"No_weapon_unarmed","360079","North_Precinct","21",NA,"437547902","395040","White","Male","Yes",26,"437942942","Active","Active",NA,NA,NA,NA,NA,NA,"Dispatched",NA,"Yes",NA,"2020","1","1","25_34",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
NA,"III","Arrest_Felony","Wednesday",NA,NA,NA,"Resisted_HC","Takedown_IV",NA,NA,NA,NA,NA,NA,"1200_1759","Suspicious","SUSPICIOUS___PRIORITY",NA,NA,"June",NA,NA,"916531","TOD","10",NA,"628547694","1825520","Hispanic","Male","No",40,"630373214","Active","Aggressive",NA,NA,NA,NA,NA,NA,"Dispatched",NA,"Yes","Weapon_Present_or_reported_but_not_used_or_threatened_use","2020","1","1","35_44",1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
NA,"III","Arrest_Felony","Wednesday",NA,NA,NA,"Resisted_HC","Takedown_IV","CEW","CEW",NA,NA,NA,NA,"1200_1759","Suspicious","SUSPICIOUS___PRIORITY",NA,NA,"June",NA,NA,"954741","East_Precinct","7",NA,"628547694","1825520","Hispanic","Male","No",40,"630373214","Active","Aggressive","Aggressive","Aggressive",NA,NA,NA,NA,"Dispatched",NA,"Yes","Weapon_Present_or_reported_but_not_used_or_threatened_use","2020","1","1","35_44",1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
NA,"III","Arrest_Felony","Wednesday",NA,NA,NA,"Resisted_HC","Takedown_IV","Resisted_HC",NA,NA,NA,NA,NA,"1200_1759","Suspicious","SUSPICIOUS___PRIORITY",NA,NA,"June",NA,NA,"212461","East_Precinct","11",NA,"628547694","1825520","Hispanic","Male","No",40,"630373214","Active","Aggressive","Active",NA,NA,NA,NA,NA,"Dispatched",NA,"Yes","Weapon_Present_or_reported_but_not_used_or_threatened_use","2020","1","1","35_44",1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
NA,"III","Arrest_Felony","Wednesday",NA,NA,NA,"Takedown_II_and_III",NA,NA,NA,NA,NA,NA,NA,"0000_0559","Collision","ACCIDENT___UNKNOWN_INJURY",NA,NA,"June",NA,"No_weapon_unarmed","1044050","East_Precinct","13",NA,"300547620","409057","Native_American","Male","No",27,"300956677","Aggressive",NA,NA,NA,NA,NA,NA,NA,"Dispatched",NA,NA,NA,"2020","1","1","25_34",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
NA,"III","Arrest_Felony","Wednesday",NA,NA,NA,"Takedown_II_and_III",NA,NA,NA,NA,NA,NA,NA,"1800_2359","Disturbance","DISTURBANCE___PRIORITY",NA,NA,"October",NA,"No_weapon_unarmed","852231","East_Precinct","3",NA,"649548934","371361","Black","Male","Yes",36,"649920295","Active",NA,NA,NA,NA,NA,NA,NA,"Dispatched",NA,NA,NA,"2020","1","1","35_44",1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
NA,"III","Arrest_Felony","Wednesday",NA,NA,NA,"Takedown_II_and_III",NA,NA,NA,NA,NA,NA,NA,"1800_2359","Robbery","ROBBERY___PRIORITY_*H",NA,NA,"September",NA,"No_weapon_unarmed","358482","East_Precinct","0",NA,"967548387","4155067","White","Male","No",23,"971703454","Aggressive",NA,NA,NA,NA,NA,NA,NA,"Dispatched",NA,NA,NA,"2020","1","1","18_24",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,"III","Arrest_Felony","Wednesday",NA,NA,NA,"Takedown_II_and_III","Control_Against_Resistance",NA,NA,NA,NA,NA,NA,"0000_0559","Disturbance","DISTURBANCE___PRIORITY",NA,NA,"December",NA,"No_weapon_unarmed","269171","East_Precinct","3",NA,"403549451","1803257","Black","Male","No",18,"405352708","Aggressive","Aggressive",NA,NA,NA,NA,NA,NA,"Dispatched",NA,NA,NA,"2020","1","1","18_24",1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NA,"III","Arrest_Felony","Wednesday",NA,NA,NA,"Takedown_II_and_III","Control_Against_Resistance","Control_Against_Resistance",NA,NA,NA,NA,NA,"1200_1759","Behavioral_Health","ECIT",NA,NA,"March",NA,"No_weapon_unarmed","972240","Central_Precinct","13",NA,"883546516","4018104","White","Male","Yes",35,"887564620","Aggressive","Active","Aggressive",NA,NA,NA,NA,NA,"Dispatched",NA,NA,NA,"2020","1","1","35_44",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
NA,"III","Arrest_Felony","Wednesday","Firearm",NA,NA,"Takedown_II_and_III","Chemical_Incapacitant___handheld","Strikes_kicks",NA,NA,NA,NA,NA,"0000_0559","Area_Premise_Check","PREMISE_CHECK",NA,NA,"October",NA,NA,"427191","East_Precinct","3",NA,"582548793","1276742","Hispanic","Male","Yes",35,"583825535","Active","Aggressive","Active",NA,NA,NA,NA,NA,"Dispatched",NA,"Yes","Weapon_Present_or_reported_but_not_used_or_threatened_use","2020","1","1","35_44",1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
NA,"III","Arrest_Felony","Wednesday","Firearm",NA,NA,"Takedown_II_and_III","Control_Against_Resistance",NA,NA,NA,NA,NA,NA,"0000_0559","Area_Premise_Check","PREMISE_CHECK",NA,NA,"October",NA,NA,"924241","East_Precinct","8",NA,"582548793","1276742","Hispanic","Male","Yes",35,"583825535","Active","Active",NA,NA,NA,NA,NA,NA,"Dispatched",NA,"Yes","Weapon_Present_or_reported_but_not_used_or_threatened_use","2020","1","1","35_44",1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
NA,"III","Arrest_Felony","Wednesday",NA,"Firearm___Implied",NA,"CEW","CEW","CEW","Resisted_HC",NA,NA,NA,NA,"1200_1759","Traffic_Stop","TRAFFIC_STOP",NA,NA,"March",NA,NA,"677710","Traffic","16",NA,"251546590","3968607","White","Male","No",21,"255515197","Aggressive","Aggressive","Aggressive","Aggressive",NA,NA,NA,NA,"Self_Initiated",NA,NA,NA,"2020","1","1","18_24",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,"III","Arrest_Felony","Wednesday",NA,"Firearm___Implied",NA,"Takedown_II_and_III","Resisted_HC",NA,NA,NA,NA,NA,NA,"1200_1759","Traffic_Stop","TRAFFIC_STOP",NA,NA,"March",NA,NA,"1090651","East_Precinct","8",NA,"251546590","3968607","White","Male","No",21,"255515197","Active","Active",NA,NA,NA,NA,NA,NA,"Self_Initiated",NA,NA,NA,"2020","1","1","18_24",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,"III","Arrest_Misdemeanor","Wednesday",NA,NA,NA,"Chemical_Incapacitant___handheld",NA,NA,NA,NA,NA,NA,NA,"1800_2359","Area_Premise_Check","AREA_CHECK",NA,NA,"April",NA,"No_weapon_unarmed","536699","East_Precinct","14",NA,"115546909","361543","White","Male","Yes",43,"115908452","Aggressive",NA,NA,NA,NA,NA,NA,NA,"Dispatched",NA,"Yes",NA,"2020","1","1","35_44",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
NA,"III","Arrest_Misdemeanor","Wednesday",NA,NA,NA,"Control_Against_Resistance",NA,NA,NA,NA,NA,NA,NA,"0000_0559","Unwanted_Person","UNWANTED_PERSON","Knife___Edged_Weapon___Stabbing_Instrument",NA,"November",NA,NA,"243171","Central_Precinct","3",NA,"430549122","421771","Black","Male","Yes",39,"430970893","Active",NA,NA,NA,NA,NA,NA,NA,"Dispatched",NA,NA,NA,"2020","1","1","35_44",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
NA,"III","Arrest_Misdemeanor","Wednesday",NA,NA,NA,"Control_Against_Resistance","Control_Against_Resistance",NA,NA,NA,NA,NA,NA,"0600_1159","Disturbance","DISTURBANCE___PRIORITY",NA,NA,"September",NA,"No_weapon_unarmed","243171","Central_Precinct","3",NA,"152548449","3513920","White","Male","Yes",28,"156062369","Active","Active",NA,NA,NA,NA,NA,NA,"Dispatched",NA,NA,NA,"2020","1","1","25_34",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
NA,"III","Arrest_Misdemeanor","Wednesday",NA,NA,NA,"Resisted_HC","Control_Against_Resistance",NA,NA,NA,NA,NA,NA,"0600_1159","Disturbance","DISTURBANCE___PRIORITY",NA,NA,"September",NA,"No_weapon_unarmed","1047348","Central_Precinct","26",NA,"152548449","3513920","White","Male","Yes",28,"156062369","Active","Active",NA,NA,NA,NA,NA,NA,"Dispatched",NA,NA,NA,"2020","1","1","25_34",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
NA,"III","Arrest_Misdemeanor","Wednesday",NA,NA,NA,"Resisted_HC","Resisted_HC",NA,NA,NA,NA,NA,NA,"0600_1159","Disturbance","DISTURBANCE___PRIORITY",NA,NA,"September",NA,"No_weapon_unarmed","736119","Central_Precinct","21",NA,"152548449","3513920","White","Male","Yes",28,"156062369","Active","Active",NA,NA,NA,NA,NA,NA,"Dispatched",NA,NA,NA,"2020","1","1","25_34",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
NA,"III","Arrest_Misdemeanor","Wednesday",NA,NA,NA,"Resisted_HC","Strikes_kicks","Strikes_kicks","Resisted_HC",NA,NA,NA,NA,"0600_1159","Disturbance","DISTURBANCE___PRIORITY",NA,NA,"September",NA,"No_weapon_unarmed","774420","Central_Precinct","12",NA,"152548449","3513920","White","Male","Yes",28,"156062369","Active","Aggressive","Aggressive","Active",NA,NA,NA,NA,"Dispatched",NA,NA,NA,"2020","1","1","25_34",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
NA,"III","Arrest_Misdemeanor","Wednesday",NA,NA,NA,"Takedown_II_and_III",NA,NA,NA,NA,NA,NA,NA,"1800_2359","Threat","THREAT___PRIORITY",NA,NA,"January",NA,NA,"196561","Central_Precinct","7",NA,"989546007","1424089","Black","Male","Yes",23,"990970096","Active",NA,NA,NA,NA,NA,NA,NA,"Dispatched","Yes",NA,"Weapon_Present_or_reported_but_not_used_or_threatened_use","2020","1","1","18_24",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
NA,"III","Arrest_Misdemeanor","Wednesday",NA,NA,NA,"Takedown_II_and_III","Resisted_HC",NA,NA,NA,NA,NA,NA,"0000_0559","Area_Premise_Check","PROWLER","Knife___Edged_Weapon___Stabbing_Instrument",NA,"January",NA,NA,"180060","East_Precinct","14",NA,"86545918","204277","White","Male","Yes",38,"86750195","Active","Active",NA,NA,NA,NA,NA,NA,"Dispatched",NA,"Yes",NA,"2020","1","1","35_44",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
NA,"III","Arrest_Misdemeanor","Wednesday",NA,NA,NA,"Takedown_II_and_III","Resisted_HC",NA,NA,NA,NA,NA,NA,"0000_0559","Area_Premise_Check","PROWLER","Knife___Edged_Weapon___Stabbing_Instrument",NA,"January",NA,NA,"687009","East_Precinct","14",NA,"86545918","204277","White","Male","Yes",38,"86750195","Active","Active",NA,NA,NA,NA,NA,NA,"Dispatched",NA,"Yes",NA,"2020","1","1","35_44",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
NA,"III","Arrest_Misdemeanor","Wednesday",NA,NA,NA,"Takedown_II_and_III","Resisted_HC",NA,NA,NA,NA,NA,NA,"0000_0559","Unwanted_Person","UNWANTED_PERSON","Knife___Edged_Weapon___Stabbing_Instrument",NA,"November",NA,NA,"378280","Central_Precinct","13",NA,"430549122","421771","Black","Male","Yes",39,"430970893","Aggressive","Active",NA,NA,NA,NA,NA,NA,"Dispatched",NA,NA,NA,"2020","1","1","35_44",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
NA,"III","Arrest_Misdemeanor","Wednesday",NA,NA,NA,"Takedown_II_and_III","Resisted_HC",NA,NA,NA,NA,NA,NA,"1200_1759","Disturbance","DISTURBANCE___PRIORITY",NA,NA,"August",NA,"No_weapon_unarmed","501691","Central_Precinct","8",NA,"352548311","529706","White","Male","Yes",27,"353078017","Active","Active",NA,NA,NA,NA,NA,NA,"Dispatched","Yes","Yes",NA,"2020","1","1","25_34",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
NA,"III","Arrest_Warrant","Wednesday",NA,NA,NA,"Control_Against_Resistance","Takedown_II_and_III","Resisted_HC","Control_Against_Resistance",NA,NA,NA,NA,"0600_1159","Collision","ACCIDENT___UNKNOWN_INJURY",NA,"Yes","November",NA,"No_weapon_unarmed","413579","East_Precinct","25",NA,"669548994","1080320","White","Male","Yes",26,"670629314","Active","Aggressive","Active","Active",NA,NA,NA,NA,"Dispatched",NA,"Yes",NA,"2020","1","1","25_34",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
NA,"III","Arrest_Warrant","Wednesday",NA,NA,NA,"Resisted_HC",NA,NA,NA,NA,NA,NA,NA,"0600_1159","Warrant","WARRANT",NA,NA,"September",NA,NA,"672710","East_Precinct","18",NA,"671548654","155211","Black","Male","Unknown",47,"671703865","Active",NA,NA,NA,NA,NA,NA,NA,"Self_Initiated",NA,NA,"Weapon_Present_or_reported_but_not_used_or_threatened_use","2020","1","1","45_54",1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
NA,"III","Arrest_Warrant","Wednesday",NA,NA,NA,"Resisted_HC","Control_Against_Resistance",NA,NA,NA,NA,NA,NA,"0600_1159","Collision","ACCIDENT___UNKNOWN_INJURY",NA,"Yes","November",NA,"No_weapon_unarmed","291168","East_Precinct","26",NA,"669548994","1080320","White","Male","Yes",26,"670629314","Active","Active",NA,NA,NA,NA,NA,NA,"Dispatched",NA,"Yes",NA,"2020","1","1","25_34",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
NA,"III","Arrest_Warrant","Wednesday",NA,NA,NA,"Resisted_HC","Takedown_II_and_III",NA,NA,NA,NA,NA,NA,"0000_0559","Restraining_Order_Violation","RESTRAINING_ORDER_VIOLATION___PRIORITY",NA,NA,"December",NA,NA,"578502","East_Precinct","1",NA,"204549509","489612","Hispanic","Female","No",40,"205039121","Aggressive","Aggressive",NA,NA,NA,NA,NA,NA,"Dispatched","Yes",NA,"Weapon_Present_or_reported_but_not_used_or_threatened_use","2020","1","1","35_44",1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
NA,"III","Arrest_Warrant","Wednesday",NA,NA,NA,"Resisted_HC","Takedown_II_and_III","Control_Against_Resistance",NA,NA,NA,NA,NA,"0000_0559","Restraining_Order_Violation","RESTRAINING_ORDER_VIOLATION___PRIORITY",NA,NA,"December",NA,NA,"746120","East_Precinct","14",NA,"204549509","489612","Hispanic","Female","No",40,"205039121","Active","Aggressive","Aggressive",NA,NA,NA,NA,NA,"Dispatched","Yes",NA,"Weapon_Present_or_reported_but_not_used_or_threatened_use","2020","1","1","35_44",1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
NA,"III","Arrest_Warrant","Wednesday",NA,NA,NA,"Takedown_II_and_III","Resisted_HC",NA,NA,NA,NA,NA,NA,"0600_1159","Warrant","WARRANT",NA,NA,"September",NA,NA,"403379","East_Precinct","18",NA,"671548654","155211","Black","Male","Unknown",47,"671703865","Active","Active",NA,NA,NA,NA,NA,NA,"Self_Initiated",NA,NA,"Weapon_Present_or_reported_but_not_used_or_threatened_use","2020","1","1","45_54",1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
NA,"III","Arrest_Warrant","Wednesday",NA,NA,NA,"Takedown_II_and_III","Resisted_HC",NA,NA,NA,NA,NA,NA,"1200_1759","Subject_Stop","PERSON_CONTACT_86",NA,"Yes","July",NA,"No_weapon_unarmed","501691","Central_Precinct","8",NA,"158548039","497707","White","Female","Yes",31,"159045746","Active","Active",NA,NA,NA,NA,NA,NA,"Dispatched",NA,"Yes",NA,"2020","1","1","25_34",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
NA,"III","Cite_and_Release","Wednesday",NA,NA,NA,"Resisted_HC","Takedown_II_and_III","Takedown_II_and_III","CEW",NA,NA,NA,NA,"1800_2359","Stolen_Vehicle","VEHICLE_RECOVERED",NA,NA,"August",NA,"No_weapon_unarmed","1047151","Central_Precinct","3",NA,"234548180","4029011","White","Male","Yes",30,"238577191","Active","Aggressive","Aggressive","Aggressive",NA,NA,NA,NA,"Dispatched",NA,NA,NA,"2020","1","1","25_34",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
NA,"III","Cite_and_Release","Wednesday",NA,NA,NA,"Resisted_HC","Takedown_II_and_III","Takedown_II_and_III","Takedown_II_and_III","Resisted_HC",NA,NA,NA,"1800_2359","Stolen_Vehicle","VEHICLE_RECOVERED",NA,NA,"August",NA,"No_weapon_unarmed","752121","Central_Precinct","3",NA,"234548180","4029011","White","Male","Yes",30,"238577191","Active","Active","Active","Active","Active",NA,NA,NA,"Dispatched",NA,NA,NA,"2020","1","1","25_34",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
NA,"III","Escaped","Wednesday",NA,NA,NA,"CEW",NA,NA,NA,NA,NA,NA,NA,"0000_0559","Welfare_Check","WELFARE_CHECK___PRIORITY",NA,NA,"March",NA,"No_weapon_unarmed","774521","East_Precinct","10",NA,"323546661","1720604","White","Male","No",34,"325267265","Active",NA,NA,NA,NA,NA,NA,NA,"Dispatched",NA,"Yes",NA,"2020","1","1","25_34",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
